"Annotation","Author","Complex Expansion","Complex Expansion ID","Confidence-Score-author score","Confidence-Score-intact-miscore","Creation Date","Detection Method","Detection Method ID","Host Organism Taxonomy","Host Organism Taxonomy ID","interaction","Interaction Type","name","Negative","Parameters","Primary Interaction Type","Publication DB","Publication ID","ScoreAverage","selected","shared interaction","shared name","Source Biological Role","Source Biological Role ID","Source Database","Source Experimental Role","Source Experimental Role ID","Source Participant Detection Method","Source Participant Detection Method ID","Target Biological Role","Target Biological Role ID","Target Experimental Role","Target Experimental Role ID","Target Participant Detection Method","Target Participant Detection Method ID","Update Date","Xref","Xref ID"
"figure legend:Supplementary table 2A|comment:Type II stable interacting partners with comparable MAP-SILAC and PAM-SILAC ratios|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Lei et al. (2008)","spoke expansion","MI:1060",,"0.56","2010/05/17","tandem affinity purification","MI:0676","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-2659628","association","Q92905 (EBI-2659628) Q9Y4B6","false","","association","pubmed|imex","18850735|IM-20477",,"false","EBI-2659628","Q92905 (EBI-2659628) Q9Y4B6","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/05/20","",""
"figure legend:Supplementary table 2A|comment:Type II stable interacting partners with comparable MAP-SILAC and PAM-SILAC ratios|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Lei et al. (2008)","spoke expansion","MI:1060",,"0.35","2010/05/17","tandem affinity purification","MI:0676","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-2659628","association","Q92905 (EBI-2659628) O75955","false","","association","pubmed|imex","18850735|IM-20477",,"false","EBI-2659628","Q92905 (EBI-2659628) O75955","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/05/20","",""
"figure legend:Fig 1B, 2,3 and table 1,2 and 3|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Lei et al. (2008)","spoke expansion","MI:1060",,"0.56","2010/05/17","tandem affinity purification","MI:0676","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-2659578","association","Q92905 (EBI-2659578) Q9UNS2","false","","association","pubmed|imex","18850735|IM-20477",,"false","EBI-2659578","Q92905 (EBI-2659578) Q9UNS2","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/05/20","",""
"figure legend:submitted by author|full coverage:Only protein-protein interactions|curation depth:imex curation","Sowa et al. (2009)","spoke expansion","MI:1060",,"0.56","2009/12/18","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2510150","physical association","Q92905 (EBI-2510150) Q9BT78","false","","physical association","imex|pubmed","IM-12079|19615732",,"false","EBI-2510150","Q92905 (EBI-2510150) Q9BT78","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2009/12/18","intact","MI:0469"
"figure legend:Supplementary table 2A|comment:Type II stable interacting partners with comparable MAP-SILAC and PAM-SILAC ratios|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Lei et al. (2008)","spoke expansion","MI:1060",,"0.35","2010/05/17","tandem affinity purification","MI:0676","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-2659628","association","Q92905 (EBI-2659628) Q9UJZ1","false","","association","pubmed|imex","18850735|IM-20477",,"false","EBI-2659628","Q92905 (EBI-2659628) Q9UJZ1","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/05/20","",""
"figure legend:Fig 1B, 2,3 and table 1,2 and 3|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Lei et al. (2008)","spoke expansion","MI:1060",,"0.56","2010/05/17","tandem affinity purification","MI:0676","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-2659578","association","Q92905 (EBI-2659578) Q99627","false","","association","pubmed|imex","18850735|IM-20477",,"false","EBI-2659578","Q92905 (EBI-2659578) Q99627","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/05/20","",""
"figure legend:Supplementary table 2A|comment:Type II stable interacting partners with comparable MAP-SILAC and PAM-SILAC ratios|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Lei et al. (2008)","spoke expansion","MI:1060",,"0.35","2010/05/17","tandem affinity purification","MI:0676","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-2659628","association","Q92905 (EBI-2659628) P48741","false","","association","pubmed|imex","18850735|IM-20477",,"false","EBI-2659628","Q92905 (EBI-2659628) P48741","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/05/20","",""
"figure legend:submitted by author|full coverage:Only protein-protein interactions|curation depth:imex curation","Sowa et al. (2009)","spoke expansion","MI:1060",,"0.4","2009/12/18","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2510150","physical association","Q92905 (EBI-2510150) Q8TEB1","false","","physical association","imex|pubmed","IM-12079|19615732",,"false","EBI-2510150","Q92905 (EBI-2510150) Q8TEB1","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2009/12/18","intact","MI:0469"
"author-identifiers:\BAIT gene GI:1469200, protein GI:40788877; PREY protein GI:10801345\","Ewing et al. (2007)","","","0.424","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1072176","physical association","Q9UBQ5 (EBI-1072176) Q14152","false","","physical association","pubmed","17353931",,"false","EBI-1072176","Q9UBQ5 (EBI-1072176) Q14152","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"author-identifiers:\BAIT gene GI:4505232, protein GI:183769; PREY protein GI:4506407\","Ewing et al. (2007)","","","0.301","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1077124","physical association","P29372 (EBI-1077124) P43487","false","","physical association","pubmed","17353931",,"false","EBI-1077124","P29372 (EBI-1077124) P43487","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2008/09/22","",""
"figure legend:Fig 5A|comment:Coimmunoprecipitation of HEK293T cells stably transfected with Cul2-Flag tagged|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Takumi et al. (2004)","spoke expansion","MI:1060",,"0.53","2010/05/17","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2659429","association","Q13617 (EBI-2659429) Q15370","false","","association","pubmed|imex","15601820|IM-19076",,"false","EBI-2659429","Q13617 (EBI-2659429) Q15370","unspecified role","MI:0499","psi-mi","bait","MI:0496","Identification by mass spectrometry","MI:0427","unspecified role","MI:0499","prey","MI:0498","Identification by mass spectrometry","MI:0427","2010/05/19","",""
"figure legend:Fig 5A|comment:Coimmunoprecipitation of HEK293T cells stably transfected with Cul2-Flag tagged|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Takumi et al. (2004)","spoke expansion","MI:1060",,"0.67","2010/05/17","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2659429","association","Q13617 (EBI-2659429) Q15369","false","","association","pubmed|imex","15601820|IM-19076",,"false","EBI-2659429","Q13617 (EBI-2659429) Q15369","unspecified role","MI:0499","psi-mi","bait","MI:0496","Identification by mass spectrometry","MI:0427","unspecified role","MI:0499","prey","MI:0498","Identification by mass spectrometry","MI:0427","2010/05/19","",""
"author-identifiers:\BAIT gene GI:13628793, protein GI:19482174; PREY protein GI:11024700\","Ewing et al. (2007)","","","0.385","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1084355","physical association","Q13617 (EBI-1084355) Q9Y5L4","false","","physical association","pubmed","17353931",,"false","EBI-1084355","Q13617 (EBI-1084355) Q9Y5L4","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2008/09/22","",""
"author-identifiers:\BAIT gene GI:6563213, protein GI:10047116; PREY protein GI:21620024\","Ewing et al. (2007)","","","0.515","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1077398","physical association","Q9NVI7 (EBI-1077398) Q9BUV8","false","","physical association","pubmed","17353931",,"false","EBI-1077398","Q9NVI7 (EBI-1077398) Q9BUV8","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"figure legend:Fig 1E|full coverage:Only protein-protein interactions|curation depth:imex curation","Laguette et al. (2014)","spoke expansion","MI:1060",,"0.59","2014/01/23","cosedimentation through density gradient","MI:0029","human-thp-1|Homo sapiens acute monocytic leukemia cells","9606","EBI-9210010","physical association","Q16531 (EBI-9210010) Q9Y4B6","false","","physical association","pubmed|imex","24412650|IM-22043",,"false","EBI-9210010","Q16531 (EBI-9210010) Q9Y4B6","unspecified role","MI:0499","psi-mi","neutral component","MI:0497","western blot","MI:0113","unspecified role","MI:0499","neutral component","MI:0497","western blot","MI:0113","2014/02/19","",""
"figure legend:Fig 1E|dataset:Cancer - Interactions investigated in the context of cancer|full coverage:Only protein-protein interactions|curation depth:imex curation","Hu et al. (2012)","","",,"0.4","2012/12/24","pull down","MI:0096","in vitro|In vitro","-1","EBI-6468363","physical association","Q16531 (EBI-6468363) Q16576","false","","physical association","pubmed|imex","23238014|IM-18592",,"false","EBI-6468363","Q16531 (EBI-6468363) Q16576","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2012/12/24","nucleus","GO:0005634"
"figure legend:Supp. Fig. 3F|full coverage:Only protein-protein interactions|curation depth:imex curation","Scrima et al. (2008)","","",,"0.44","2009/01/26","pull down","MI:0096","in vitro|In vitro","-1","EBI-2213416","direct interaction","Q16531 (EBI-2213416) Q8TEB1","false","","direct interaction","imex|pubmed","IM-12154|19109893",,"false","EBI-2213416","Q16531 (EBI-2213416) Q8TEB1","unspecified role","MI:0499","psi-mi","prey","MI:0498","molecular weight estimation by coomasie staining","MI:0818","unspecified role","MI:0499","bait","MI:0496","molecular weight estimation by coomasie staining","MI:0818","2009/01/26","intact","MI:0469"
"","Liu et al. (2000)","","",,"0.37","2004/05/18","two hybrid","MI:0018","yeasx|Saccharomyces cerevisiae","4932","EBI-350580","physical association","Q16531 (EBI-350580) Q9UNS2","false","","physical association","pubmed","10777491",,"false","EBI-350580","Q16531 (EBI-350580) Q9UNS2","unspecified role","MI:0499","psi-mi","bait","MI:0496","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","prey","MI:0498","nucleotide sequence identification","MI:0078","2008/09/22","",""
"figure legend:Fig 1C.|comment:Reciprocal immunoprecipitation further confirmed that all five proteins compose an endogenous complex consistent with previous observations.|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|dataset:Cancer - Interactions investigated in the context of cancer|full coverage:Only protein-protein interactions|curation depth:imex curation","Yokoyama et al. (2010)","spoke expansion","MI:1060",,"0.35","2010/03/11","anti bait coimmunoprecipitation","MI:0006","human-k_562|Homo sapiens myeloid leukemia cells.","9606","EBI-2610876","association","Q03111 (EBI-2610876) O60563","false","","association","imex|pubmed","IM-13603|20153263",,"false","EBI-2610876","Q03111 (EBI-2610876) O60563","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2010/04/08","intact","MI:0469"
"author-identifiers:\BAIT gene GI:6563213, protein GI:10047116; PREY protein GI:5454090\","Ewing et al. (2007)","","","0.33","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1079976","physical association","P51571 (EBI-1079976) Q9BUV8","false","","physical association","pubmed","17353931",,"false","EBI-1079976","P51571 (EBI-1079976) Q9BUV8","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"dataset:Huntington's - Publications describing interactions involved in Huntington's disease|dataset:Neurodegeneration - Publications depicting interactions involved in neurodegenerative diseases.|full coverage:Only protein-protein interactions|curation depth:imex curation","Stelzl et al. (2005)","","",,"0.37","2005/10/19","two hybrid pooling approach","MI:0398","yeasx|Saccharomyces cerevisiae","4932","EBI-735483","physical association","P06576 (EBI-735483) P61289","false","","physical association","pubmed|imex|mint","16169070|IM-16517|MINT-5217955",,"false","EBI-735483","P06576 (EBI-735483) P61289","unspecified role","MI:0499","psi-mi","prey","MI:0498","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","bait","MI:0496","nucleotide sequence identification","MI:0078","2008/09/22","intact","MI:0469"
"author-identifiers:\BAIT gene GI:1469200, protein GI:40788877; PREY protein GI:7705433\","Ewing et al. (2007)","","","0.575","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1071878","physical association","Q9Y262 (EBI-1071878) Q14152","false","","physical association","pubmed","17353931",,"false","EBI-1071878","Q9Y262 (EBI-1071878) Q14152","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"author-identifiers:\BAIT gene GI:2982672, protein GI:5453838; PREY protein GI:7705433\","Ewing et al. (2007)","","","0.268","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1078768","physical association","Q9Y262 (EBI-1078768) O60232","false","","physical association","pubmed","17353931",,"false","EBI-1078768","Q9Y262 (EBI-1078768) O60232","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"full coverage:Only protein-protein interactions|curation depth:imex curation","Rual et al. (2005)","","",,"0.55","2005/11/17","two hybrid pooling approach","MI:0398","yeasx|Saccharomyces cerevisiae","4932","EBI-754273","physical association","Q9Y262 (EBI-754273) Q9UBQ5","false","","physical association","pubmed|imex|mint","16189514|IM-16520|MINT-5217968",,"false","EBI-754273","Q9Y262 (EBI-754273) Q9UBQ5","unspecified role","MI:0499","psi-mi","unspecified role","MI:0499","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","unspecified role","MI:0499","nucleotide sequence identification","MI:0078","2008/09/22","intact","MI:0469"
"figure legend:submitted by author|full coverage:Only protein-protein interactions|curation depth:imex curation","Sowa et al. (2009)","spoke expansion","MI:1060",,"0.4","2009/12/18","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2514381","physical association","Q9UN86 (EBI-2514381) P13489","false","","physical association","imex|pubmed","IM-12079|19615732",,"false","EBI-2514381","Q9UN86 (EBI-2514381) P13489","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2009/12/18","intact","MI:0469"
"figure legend:Table 1|full coverage:Only protein-protein interactions|curation depth:imex curation","Fuller et al. (2010)","spoke expansion","MI:1060",,"0.35","2010/03/29","anti bait coimmunoprecipitation","MI:0006","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-2626054","association","Q16637 (EBI-2626054) Q9Y3F4","false","","association","pubmed|imex","19928837|IM-18940",,"false","EBI-2626054","Q16637 (EBI-2626054) Q9Y3F4","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/03/29","",""
"figure legend:Table 1|full coverage:Only protein-protein interactions|curation depth:imex curation","Fuller et al. (2010)","spoke expansion","MI:1060",,"0.35","2010/03/29","anti bait coimmunoprecipitation","MI:0006","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-2626054","association","Q16637 (EBI-2626054) Q9Y2W1","false","","association","pubmed|imex","19928837|IM-18940",,"false","EBI-2626054","Q16637 (EBI-2626054) Q9Y2W1","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/03/29","",""
"figure legend:Table 1|full coverage:Only protein-protein interactions|curation depth:imex curation","Fuller et al. (2010)","spoke expansion","MI:1060",,"0.35","2010/03/29","anti bait coimmunoprecipitation","MI:0006","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-2626054","association","Q16637 (EBI-2626054) P31942","false","","association","pubmed|imex","19928837|IM-18940",,"false","EBI-2626054","Q16637 (EBI-2626054) P31942","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/03/29","",""
"figure legend:Table 1|full coverage:Only protein-protein interactions|curation depth:imex curation","Fuller et al. (2010)","spoke expansion","MI:1060",,"0.35","2010/03/29","anti bait coimmunoprecipitation","MI:0006","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-2626054","association","Q16637 (EBI-2626054) Q9H840","false","","association","pubmed|imex","19928837|IM-18940",,"false","EBI-2626054","Q16637 (EBI-2626054) Q9H840","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/03/29","",""
"figure legend:Table 1|full coverage:Only protein-protein interactions|curation depth:imex curation","Fuller et al. (2010)","spoke expansion","MI:1060",,"0.35","2010/03/29","anti bait coimmunoprecipitation","MI:0006","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-2626054","association","Q16637 (EBI-2626054) Q8WXD5","false","","association","pubmed|imex","19928837|IM-18940",,"false","EBI-2626054","Q16637 (EBI-2626054) Q8WXD5","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2010/03/29","",""
"author-identifiers:\BAIT gene GI:2982672, protein GI:5453838; PREY protein GI:38195089\","Ewing et al. (2007)","","","0.317","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1085531","physical association","Q99873 (EBI-1085531) O60232","false","","physical association","pubmed","17353931",,"false","EBI-1085531","Q99873 (EBI-1085531) O60232","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"","Finnerty et al. (2004)","","",,"0.68","2005/04/11","affinity chromatography technology","MI:0004","in vitro|In vitro","-1","EBI-528806","physical association","P26038 (EBI-528806) O14745","false","","physical association","pubmed","15020681",,"false","EBI-528806","P26038 (EBI-528806) O14745","unspecified role","MI:0499","psi-mi","neutral component","MI:0497","molecular weight estimation by coomasie staining","MI:0818","unspecified role","MI:0499","neutral component","MI:0497","molecular weight estimation by coomasie staining","MI:0818","2008/09/22","",""
"figure legend:Table S2|full coverage:Only protein-protein interactions|curation depth:imex curation","Wang et al. (2011)","","",,"0.37","2011/05/18","two hybrid array","MI:0397","yeasx|Saccharomyces cerevisiae","4932","EBI-3917407","physical association","Q9NYJ8 (EBI-3917407) P63104","false","","physical association","imex|pubmed","IM-15364|21988832",,"false","EBI-3917407","Q9NYJ8 (EBI-3917407) P63104","unspecified role","MI:0499","psi-mi","unspecified role","MI:0499","predetermined participant","MI:0396","unspecified role","MI:0499","unspecified role","MI:0499","predetermined participant","MI:0396","2011/05/18","intact","MI:0469"
"figure legend:Table S2|full coverage:Only protein-protein interactions|curation depth:imex curation","Wang et al. (2011)","","",,"0.37","2011/05/18","two hybrid array","MI:0397","yeasx|Saccharomyces cerevisiae","4932","EBI-3917377","physical association","Q9NYJ8 (EBI-3917377) P62714","false","","physical association","imex|pubmed","IM-15364|21988832",,"false","EBI-3917377","Q9NYJ8 (EBI-3917377) P62714","unspecified role","MI:0499","psi-mi","unspecified role","MI:0499","predetermined participant","MI:0396","unspecified role","MI:0499","unspecified role","MI:0499","predetermined participant","MI:0396","2011/05/18","intact","MI:0469"
"figure legend:Fig. 1, Supp. Table 1|dataset:Chromatin - Epigenetic interactions resulting in chromatin modulation|full coverage:Only protein-protein interactions|curation depth:imex curation","Foltz et al. (2009)","spoke expansion","MI:1060",,"0.35","2009/06/02","tandem affinity purification","MI:0676","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-2349080","association","P68431 (EBI-2349080) Q16576","false","","association","imex|pubmed","IM-12179|19410544",,"false","EBI-2349080","P68431 (EBI-2349080) Q16576","unspecified role","MI:0499","psi-mi","bait","MI:0496","multidimensional protein identification technology","MI:0658","unspecified role","MI:0499","prey","MI:0498","multidimensional protein identification technology","MI:0658","2009/06/25","intact","MI:0469"
"figure legend:Fig. 1D|comment:The histone chaperone ASF1 was also observed in this complex but could not be mapped to a single gene product.|dataset:Chromatin - Epigenetic interactions resulting in chromatin modulation|full coverage:Only protein-protein interactions|curation depth:imex curation","Dunleavy et al. (2009)","spoke expansion","MI:1060",,"0.73","2009/06/08","anti tag coimmunoprecipitation","MI:0007","human-hela_s3|Homo sapiens HeLa-S3 cervix carcinoma cell line","9606","EBI-2352528","association","P68431 (EBI-2352528) Q13112","false","","association","imex|pubmed","IM-12180|19410545",,"false","EBI-2352528","P68431 (EBI-2352528) Q13112","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2009/06/23","intact","MI:0469"
"figure legend:Fig. 1, Supp. Table 1|dataset:Chromatin - Epigenetic interactions resulting in chromatin modulation|full coverage:Only protein-protein interactions|curation depth:imex curation","Foltz et al. (2009)","spoke expansion","MI:1060",,"0.53","2009/06/02","tandem affinity purification","MI:0676","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-2349080","association","P68431 (EBI-2349080) Q8TEX9","false","","association","imex|pubmed","IM-12179|19410544",,"false","EBI-2349080","P68431 (EBI-2349080) Q8TEX9","unspecified role","MI:0499","psi-mi","bait","MI:0496","multidimensional protein identification technology","MI:0658","unspecified role","MI:0499","prey","MI:0498","multidimensional protein identification technology","MI:0658","2009/06/25","intact","MI:0469"
"figure legend:Fig. 1, Supp. Table 1|dataset:Chromatin - Epigenetic interactions resulting in chromatin modulation|full coverage:Only protein-protein interactions|curation depth:imex curation","Foltz et al. (2009)","spoke expansion","MI:1060",,"0.53","2009/06/02","tandem affinity purification","MI:0676","human-hela|Homo sapiens epitheloid cervix carcinoma cells","9606","EBI-2349080","association","P68431 (EBI-2349080) O14929","false","","association","imex|pubmed","IM-12179|19410544",,"false","EBI-2349080","P68431 (EBI-2349080) O14929","unspecified role","MI:0499","psi-mi","bait","MI:0496","multidimensional protein identification technology","MI:0658","unspecified role","MI:0499","prey","MI:0498","multidimensional protein identification technology","MI:0658","2009/06/25","intact","MI:0469"
"dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis","Lehner et al. (2004)","","",,"0.37","2004/05/12","two hybrid","MI:0018","human|Homo sapiens","9606","EBI-348829","physical association","Q9BV68 (EBI-348829) P46379","false","","physical association","pubmed|mint","14667819|MINT-5216829",,"false","EBI-348829","Q9BV68 (EBI-348829) P46379","unspecified role","MI:0499","psi-mi","prey","MI:0498","full identification by DNA sequencing","MI:0056","unspecified role","MI:0499","bait","MI:0496","full identification by DNA sequencing","MI:0056","2008/09/22","",""
"comment:bait protein is FLAG tagged","Fraser et al. (2004)","","",,"0.62","2004/06/04","anti tag coimmunoprecipitation","MI:0007","spofr-sf_9|Spodoptera frugiperda insect cells","7108","EBI-366687","physical association","O75821 (EBI-366687) P55884","false","","physical association","pubmed","14688252",,"false","EBI-366687","O75821 (EBI-366687) P55884","unspecified role","MI:0499","psi-mi","prey","MI:0498","predetermined participant","MI:0396","unspecified role","MI:0499","bait","MI:0496","predetermined participant","MI:0396","2008/09/22","",""
"figure legend:Supplementary Table 1 and 3|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Bisson et al. (2011)","spoke expansion","MI:1060",,"0.35","2011/06/09","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-3964621","association","P62993 (EBI-3964621) P31946","false","","association","imex|pubmed","IM-15417|21706016",,"false","EBI-3964621","P62993 (EBI-3964621) P31946","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2011/07/19","intact","MI:0469"
"figure legend:Supplementary Table 1 and 3|dataset:Apoptosis - Interactions involving proteins with a function related to apoptosis|full coverage:Only protein-protein interactions|curation depth:imex curation","Bisson et al. (2011)","spoke expansion","MI:1060",,"0.35","2011/06/09","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-3964621","association","P62993 (EBI-3964621) P63104","false","","association","imex|pubmed","IM-15417|21706016",,"false","EBI-3964621","P62993 (EBI-3964621) P63104","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2011/07/19","intact","MI:0469"
